Id,Label,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@teleSURtv,@teleSURtv,4,141,11,0.21016,0.222373,0.000487
@allan_loud,@allan_loud,1,139,10,0.245122,0.270518,0
@almethz,@almethz,1,157,11,0.229608,0.240715,0
@almitaarqueros,@almitaarqueros,3,8,11,0.235123,0.247063,0.000061
@alnuevamente,@alnuevamente,1,5,12,0.212171,0.226211,0
@aloisfoutley,@aloisfoutley,4,8,10,0.278431,0.31508,0.000348
@alonddras,@alonddras,1,183,13,0.166892,0.173263,0
@coniyy__,@coniyy__,13,183,12,0.200317,0.212311,0.002814
@alonemariana,@alonemariana,5,157,11,0.240374,0.256409,0.000137
@nadiapc,@nadiapc,3,157,12,0.202569,0.214655,0.000001
@peravi,@peravi,2,157,12,0.200704,0.211964,0
@alpiba,@alpiba,1,8,10,0.25687,0.281537,0
@alrod1963,@alrod1963,5,0,11,0.235508,0.256371,0.000917
@majaraquemada,@majaraquemada,17,0,12,0.213991,0.229992,0.002615
@altabib27,@altabib27,2,8,12,0.230609,0.243853,0.000008
@cdnrefusenik,@cdnrefusenik,6,8,11,0.237818,0.258425,0.000264
@altobonitonn,@altobonitonn,2,8,10,0.229192,0.240856,0.0003
@NoReincidente,@NoReincidente,1,8,11,0.186464,0.19255,0
@alvarezjama,@alvarezjama,1,109,12,0.170372,0.177823,0
@ADardet,@ADardet,6,109,11,0.205351,0.219211,0.00084
@alvarezp1973,@alvarezp1973,3,219,4,0.4,0.506944,0.000001
@dracortezmaria,@dracortezmaria,1,219,5,0.292683,0.356944,0
@eldia_cl,@eldia_cl,1,219,5,0.292683,0.356944,0
@radcomunicativa,@radcomunicativa,2,219,3,0.521739,0.569444,0.000002
@alvarituer,@alvarituer,1,8,12,0.214424,0.226427,0
@alvaro_jedi,@alvaro_jedi,1,139,10,0.235786,0.250448,0
@alvaro_lzd,@alvaro_lzd,1,0,13,0.178823,0.187366,0
@javiarce,@javiarce,9,0,12,0.217754,0.234164,0.001014
@alvaro_magnus,@alvaro_magnus,1,8,10,0.235444,0.251191,0
@alvarojazz,@alvarojazz,1,8,14,0.142469,0.146953,0
@GabrielAraujoES,@GabrielAraujoES,4,8,13,0.166133,0.173416,0.0009
